round,phase,bidder_id,station_item,station_price,station_net_utility,top1_item,top1_net_utility,switched_from_station
1,initial,16,station_5_1,0.0,19.505218641873512,station_5_1,19.505218641873512,False
1,initial,19,station_5_1,0.0,9.689541486701561,station_5_1,9.689541486701561,False
1,initial,36,station_5_1,0.0,150.6403573334553,station_5_1,150.6403573334553,False
2,initial,16,station_5_1,15.433290326433331,4.07192831544018,station_5_1,4.07192831544018,False
2,initial,19,station_5_1,15.433290326433331,-5.74374883973177,,-inf,True
2,initial,36,station_5_1,15.433290326433331,135.20706700702198,station_5_1,135.20706700702198,False
3,initial,16,station_5_1,16.204954842754997,3.3002637991185146,station_5_1,3.3002637991185146,False
3,initial,19,station_5_1,16.204954842754997,-6.515413356053436,,-inf,True
3,initial,36,station_5_1,16.204954842754997,134.4354024907003,station_5_1,134.4354024907003,False
4,initial,16,station_5_1,17.015202584892748,2.490016056980764,station_5_1,2.490016056980764,False
4,initial,19,station_5_1,17.015202584892748,-7.325661098191187,,-inf,True
4,initial,36,station_5_1,17.015202584892748,133.62515474856258,station_5_1,133.62515474856258,False
5,initial,16,station_5_1,17.865962714137385,1.6392559277361265,station_5_1,1.6392559277361265,False
5,initial,19,station_5_1,17.865962714137385,-8.176421227435824,,-inf,True
5,initial,36,station_5_1,17.865962714137385,132.77439461931792,station_5_1,132.77439461931792,False
6,initial,16,station_5_1,18.759260849844257,0.7459577920292553,station_5_1,0.7459577920292553,False
6,initial,19,station_5_1,18.759260849844257,-9.069719363142696,,-inf,True
6,initial,36,station_5_1,18.759260849844257,131.88109648361106,station_5_1,131.88109648361106,False
7,initial,16,station_5_1,19.69722389233647,-0.1920052504629588,,-inf,True
7,initial,19,station_5_1,19.69722389233647,-10.00768240563491,,-inf,True
7,initial,36,station_5_1,19.69722389233647,130.94313344111885,station_5_1,130.94313344111885,False
8,initial,16,station_5_1,19.69722389233647,-0.1920052504629588,,-inf,True
8,initial,19,station_5_1,19.69722389233647,-10.00768240563491,,-inf,True
8,initial,36,station_5_1,19.69722389233647,130.94313344111885,station_5_1,130.94313344111885,False
9,initial,16,station_5_1,19.69722389233647,-0.1920052504629588,,-inf,True
9,initial,19,station_5_1,19.69722389233647,-10.00768240563491,,-inf,True
9,initial,36,station_5_1,19.69722389233647,130.94313344111885,station_5_1,130.94313344111885,False
10,initial,16,station_5_1,19.69722389233647,-0.1920052504629588,,-inf,True
10,initial,19,station_5_1,19.69722389233647,-10.00768240563491,,-inf,True
10,initial,36,station_5_1,19.69722389233647,130.94313344111885,station_5_1,130.94313344111885,False
11,initial,16,station_5_1,19.69722389233647,-0.1920052504629588,,-inf,True
11,initial,19,station_5_1,19.69722389233647,-10.00768240563491,,-inf,True
11,initial,36,station_5_1,19.69722389233647,130.94313344111885,station_5_1,130.94313344111885,False
12,initial,16,station_5_1,19.69722389233647,-0.1920052504629588,,-inf,True
12,initial,19,station_5_1,19.69722389233647,-10.00768240563491,,-inf,True
